Dimension,Code,Title,ParentDimension,ParentCode,ParentTitle
ASSISTIVETECHPRODUCT,ASSISTIVETECH_Orthoses_lower,Orthoses (lower limb),,,
ASSISTIVETECHPRODUCT,ASSISTIVETECH_Orthoses_spinal,Orthoses (spinal),,,
ASSISTIVETECHPRODUCT,ASSISTIVETECH_Orthoses_upper,Orthoses (upper limb),,,
ASSISTIVETECHPRODUCT,ASSISTIVETECH_Personal_alarm,Personal emergency alarm systems,,,
ASSISTIVETECHPRODUCT,ASSISTIVETECH_Pillorganizers,Pill organizers,,,
ASSISTIVETECHPRODUCT,ASSISTIVETECH_Prostheses_lower,Prostheses (lower limb),,,
ASSISTIVETECHPRODUCT,ASSISTIVETECH_Prostheses_upper,Prostheses (upper limb)*,,,
ASSISTIVETECHPRODUCT,ASSISTIVETECH_Ramps,"Ramps, portable",,,
ASSISTIVETECHPRODUCT,ASSISTIVETECH_Recorders,Recorders,,,
ASSISTIVETECHPRODUCT,ASSISTIVETECH_Rollators,Rollators,,,
ASSISTIVETECHPRODUCT,ASSISTIVETECH_Screenreaders,Screen readers,,,
ASSISTIVETECHPRODUCT,ASSISTIVETECH_Simplified_phones,Simplified mobile phones,,,
ASSISTIVETECHPRODUCT,ASSISTIVETECH_Smart_phones_tablets_PDA4comms,Smart phones/tablets/PDA (for communication),,,
ASSISTIVETECHPRODUCT,ASSISTIVETECH_Smartphone_cognition,Smart phones/tablets/PDA (for cognition),,,
ASSISTIVETECHPRODUCT,ASSISTIVETECH_Smartphone_comms,Smart phones/tablets/PDA (for communication),,,
ASSISTIVETECHPRODUCT,ASSISTIVETECH_Smartphone_hearing,Smart phones/tablets/PDA (for hearing),,,
ASSISTIVETECHPRODUCT,ASSISTIVETECH_Smartphone_vision,Smart phones/tablets/PDA (for seeing/vision),,,
ASSISTIVETECHPRODUCT,ASSISTIVETECH_Spectacles,"Spectacles; low-vision, short/long distance/filters etc",,,
ASSISTIVETECHPRODUCT,ASSISTIVETECH_Standingframe,"Standing frames, adjustable",,,
ASSISTIVETECHPRODUCT,ASSISTIVETECH_Therapeutic_footwear,"Therapeutic footwear (diabetic, neuropathic, orthopedic)",,,
ASSISTIVETECHPRODUCT,ASSISTIVETECH_Timemanagement,Time management products,,,
ASSISTIVETECHPRODUCT,ASSISTIVETECH_TOTAL,Total,,,
ASSISTIVETECHPRODUCT,ASSISTIVETECH_TOTAL_NOSPECS,"Total, excluding spectacles",,,
ASSISTIVETECHPRODUCT,ASSISTIVETECH_Travelaids,"Travel aids, portable",,,
ASSISTIVETECHPRODUCT,ASSISTIVETECH_Tricycles,tricycles,,,
ASSISTIVETECHPRODUCT,ASSISTIVETECH_Videocomm,Video communication devices,,,
ASSISTIVETECHPRODUCT,ASSISTIVETECH_Walker,walking frames/walkers,,,
ASSISTIVETECHPRODUCT,ASSISTIVETECH_Watch,"Watches, talking/touching",,,
ASSISTIVETECHPRODUCT,ASSISTIVETECH_Wheelchair_manual,"Wheelchairs, manual with postural support",,,
ASSISTIVETECHPRODUCT,ASSISTIVETECH_Wheelchairs_electrical,"Wheelchairs, electrically powered",,,
ASSISTIVETECHPRODUCT,ASSISTIVETECH_Whitecane,White canes,,,
